project,pull_number,pull_type,id,text,classification,indicator
tinkerpop,144,summary,0,TINKERPOP3-957: Improve speed of addV(),code_debt,slow_algorithm
beam,2143,comment,283739463,"Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/beam_PreCommit_Java_MavenInstall/8052/<h2>Failed Tests: <span class='status-failure'>1</span></h2><h3><a name='beam_PreCommit_Java_MavenInstall/org.apache.beam:beam-runners-spark' /><a href='https://builds.apache.org/job/beam_PreCommit_Java_MavenInstall/8052/org.apache.beam$beam-runners-spark/testReport'>beam_PreCommit_Java_MavenInstall/org.apache.beam:beam-runners-spark</a>: <span class='status-failure'>1</span></h3><ul><li><a href='https://builds.apache.org/job/beam_PreCommit_Java_MavenInstall/8052/org.apache.beam$beam-runners-spark/testReport/org.apache.beam.runners.spark.translation.streaming/ResumeFromCheckpointStreamingTest/testWithResume/'><strong>org.apache.beam.runners.spark.translation.streaming.ResumeFromCheckpointStreamingTest.testWithResume</strong></a></li></ul>
--none--",non_debt,-
flink,14084,review,554882968,"Just not supported yet, the type TIME_STAMP_WITH_LOCAL_TIME_ZONE is rarely used. But I think we should both support them in this version.",requirement_debt,requirement_partially_implemented
kafka,1549,summary,0,"@ijuma i checked the cases where this test has failed and it seems to always be on the verification of the left join. I've ran this test plenty of times and i can't get it to fail. However in the interest of having stable builds, i've removed just the part of the test that is failing (which happens to be the last verification).
Thanks,
Damian",non_debt,-
spark,31905,comment,811106021,"Regarding your questions:
Can you provide a common streaming use case where a non-event-base processing of metrics is useful? The `Observation` proposes a ""get me the metrics"" API that hides listeners and multi-threading. In streaming context, there are no finite metrics.
Can you elaborate on this, please? Do you mean an async `get`? Can you provide some pseudo-code on how to use the metrics async.
It is not thread-safe in a scenario where the action on the observed dataset is called in a different thread than where the metrics are retrieved. I'd say such a multi-thread driver process is not the general use case for batch processing. Even if, the proposed `Observation` API aims at hiding multi-threading complexity so that users can use `Dataset.observe` in single-threaded scenarios. Users that are experience with multi-threading have no problem in using the existing listeners approach. They are not the target user of this extension.
Agreed.",requirement_debt,non-functional_requirements_not_fully_satisfied
incubator-brooklyn,763,review,35646804,.. except of course that when suspending a machine `JcloudsLocation` does not call the pre- and post-release methods of any attached `JcloudsLocationCustomizers`. I think this is fair given that the machine may be resumed.,non_debt,-
accumulo,332,comment,368365644,"Agreed.
You may have gotten that impression because I'm against bundling. But, I'm also against using Hadoop's bundled libs for same reason I'm against bundling our own. I'm in favor of intentional and thoughtful dependency convergence, as a downstream activity. I'd actually prefer we not ship any binary tarball packaging... but since we do, we might as well do it in a way that works well for most users. In any case, I agree with you, this can be improved once we get the basics in. :smile_cat:",design_debt,non-optimal_design
spark,20938,comment,383849805,retest this please,non_debt,-
incubator-brooklyn,174,review,17779614,What is this for? Is `docs/_config_local.yml` used anywhere?,non_debt,-
druid,8287,review,314501737,Same about the log level.,non_debt,-
trafficcontrol,2952,review,227523969,Fixed,non_debt,-
incubator-dolphinscheduler,4250,comment,746145200,"# [Codecov](https://codecov.io/gh/apache/incubator-dolphinscheduler/pull/4250?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/incubator-dolphinscheduler/pull/4250?src=pr&el=continue).",non_debt,-
superset,650,review,67918604,"There's definitely a more panda-esque way to do all this, but it's not shocking as is.",non_debt,-
drill,1862,review,333560129,Fixed,non_debt,-
cloudstack,1705,summary,0,Made the changes to improve logging.,code_debt,low_quality_code
rocketmq,376,comment,406472654,issue is  https://github.com/apache/rocketmq/issues/375,non_debt,-
flink,4932,summary,0,"This PR allows reporters to define their default delimiter. Previously we always defaulted to `.`.
Reporters may now implement the `DelimiterProvider` interface with which they may define a delimiter. This delimiter is used if no delimiter was explicitly configured for the reporter.
* Add DelimiterProvider interface
* modify Prometheus&JmxReporter to define the default delimiter
* modify delimiter setup in the MetricRegistry
* add a test to the MetricRegistryTest to verify functionality
This change added tests and can be verified as follows:
Run MetricRegistryTest#testDelimiterOverride.",non_debt,-
spark,15266,comment,254403378,Any other comment? @cloud-fan Thanks!,non_debt,-
spark,18567,comment,313762412,"BTW, do we need a new test case for `correctly set the active session`?",test_debt,low_coverage
incubator-pagespeed-ngx,639,comment,37984712,"This doesn't pass the system tests on my machine, hanging very early (with nginx-1.4.4):
With curl:
Requesting with `PageSpeed=off` on the querystring seems to works OK.
Requesting another url, `curl --raw -vv http://localhost:8050/mod_pagespeed_example/`
shows something else which looks concerning:
@jeffkaufman Can you reproduce this (perhaps with nginx-1.4.4)?",non_debt,-
flink,12917,review,462827759,Done.,non_debt,-
incubator-pinot,5769,review,467200428,"I think both ways have some pros and cons. I personally think that using a single endpoint is easier for users?
* The main purpose of online AD endpoint is to provide a convenient way to run AD tasks so the endpoint should be as simple as possible. Using a single endpoint is more user-friendly. Using a separate CRUD endpoint does allow more flexibility but it will ask users to firstly register their data before using this service.
* Secondly, online service will not allow much too large size of data so in my sense, sending data in the request every time is not a bottleneck?
I think we could provide both ways. This is phase 1 for this feature. In phase 2, we probably could support another two endpoints to support what you suggested. 
Regarding the cleanup, I think currently in phase 1, it is just a one-call request so I mentioned this as stateless because users will not have a separate endpoint to retrieve anomalies afterwards and hence we could clean up them. In phase 2, another two endpoints will be provided and for those endpoints, we do not need to do the cleanup.
Thanks for your suggestions!",design_debt,non-optimal_design
phoenix,244,summary,0,…ow for updated data row,non_debt,-
dubbo,2217,comment,412890407,"hi, i am using the dependency is
`
`
,which had been solved the bug?
Look forward to your favourable reply.",non_debt,-
drill,640,summary,0,Merge pull request #2 from apache/master,non_debt,-
pulsar,9443,comment,774180857,/pulsarbot run-failure-checks,non_debt,-
tvm,4280,review,349316135,"example ? Instead of exmaple ?
Message should say build with example external runtime and not relay vm profiler support .",non_debt,-
spark,1338,review,15431198,"@JoshRosen @MLnick the batch size here only affects transient data when writing and the re-serialization shouldn't be done if the data is already in pickle format (batch serialized or not). I'm uploading a patch to that effect. Since the batch size has no effect on the data persisted in files, I'm not exposing it to users. See you have any further comments and if you have a better suggestion for the default size 10, let me know.
@mateiz what you suggested is exposing the batch size for reading. I'll work on that next.",non_debt,-
nifi,2516,summary,0,NIFI-4516 FetchSolr Processor,non_debt,-
airflow,15174,review,606788324,"Agree with @ephraimbuddy , you are missing `.filter(DagRun.dag_id == dag_id)` that Ephraim suggested",non_debt,-
spark,28911,comment,661130435,Thank you for the review. I'll try to address them tomorrow!,non_debt,-
hadoop,2698,review,581200607,done,non_debt,-
hbase,2459,comment,700412617,":broken_heart: **-1 overall**
This message was automatically generated.",non_debt,-
storm,1662,comment,243796241,Fixed.  Re-ran tests.  Thanks.,non_debt,-
spark,31052,review,553663753,17165658-31052 review-553663753,non_debt,-
thrift,1309,review,127775849,Why was this removed?,non_debt,-
beam,13137,review,522334301,Maybe you also need to add null checks in process... up to you.,code_debt,low_quality_code
druid,586,review,13470857,revert this plesae,non_debt,-
ignite,5484,review,235874251,Equivalent `for` loop takes fewer lines.,non_debt,-
flink,14138,comment,730796662,cc @wuchong,non_debt,-
superset,9378,summary,0,"@graceguo-supercat noticed `black==19.10b0` and `black==19.3b0` is treating function trailing commas differently. This [upgrades black to `19.10b0`](https://github.com/psf/black/compare/19.3b0...19.10b0) to bring in the fix (https://github.com/psf/black/pull/763).
Mypy is also updated because it's a dependency of black.
N/A
CI Successful build.
N/A
@graceguo-supercat @john-bodley",non_debt,-
spark,19995,comment,352105632,cc/ @vanzin @ueshin @jiangxb1987 @erikerlandson @liyinan926,non_debt,-
skywalking,6220,review,559188687,fixed.,non_debt,-
activemq-artemis,1000,summary,0,36057260-1000 summary-0,non_debt,-
storm,3264,summary,0,STORM-3632 reduce SimpleSaslServerCallbackHandler logging,non_debt,-
spark,446,comment,43287373,Merged build started.,non_debt,-
spark,5867,comment,99559042,"  [Test build #31992 has finished](https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/31992/consoleFull) for   PR 5867 at commit [`490d778`](https://github.com/apache/spark/commit/490d778b16934984acc577d19787268958ce5fd2).
- This patch **fails Spark unit tests**.
- This patch **does not merge cleanly**.
- This patch adds no public classes.",non_debt,-
trafficserver,6486,review,388565991,"Hahaha, the bike shedder arrives!
I'm not sure. Is it worth the set up for a single file?
In any case, I don't like the "".a"" approach. If you want a change, I would create a header file, make the `Overridable_Map` not static, and grab the file via ""Makefile.inc"" reaching over to ""../shared/txn-vars.cc"".
What would the directory structure be?
-shared
--src
---txn_vars.cc
--include
---txn_vars.h
or
-shared
--txn_vars.cc
--include
---txn_vars.h",non_debt,-
spark,17293,comment,311412286,"ping @HyukjinKwon, @gatorsmile",non_debt,-
arrow,6103,summary,0,ARROW-7473: [C++][Gandiva] Improve error message for locate function,code_debt,low_quality_code
groovy,480,comment,275655612,"I think no documentation and no test. I extracted the example from the code you changed actually to show you what your change will affect. In my opinion the get/set path needs to be removed, but that is another topic. The trouble is that get/set in the MOP is in general very badly documented. So it might or it might not be, that your change is a breaking one. Well no, it is a breaking change in terms of semantics, but if real world examples will be badly affected by this? no idea. But I have another example:
    public foo
}
a.x = 1
assert a.x == 1
a.foo = 2
assert a.@foo == 2
assert a.foo == null
assert a == [x:1]
the last three asserts will all fail.",test_debt,lack_of_tests
zookeeper,161,comment,278843293,+1.,non_debt,-
beam,14404,comment,813101273,Run Java PreCommit,non_debt,-
spark,19870,summary,0,[SPARK-22665][SQL] Avoid repartitioning with empty list of expressions,non_debt,-
airflow,8002,comment,605732413,"Congratulations on your first Pull Request and welcome to the Apache Airflow community! If you have any issues or are unsure about any anything please check our Contribution Guide (https://github.com/apache/airflow/blob/master/CONTRIBUTING.rst)
Here are some useful points:
- Pay attention to the quality of your code (flake8, pylint and type annotations). Our [pre-commits]( https://github.com/apache/airflow/blob/master/STATIC_CODE_CHECKS.rst#prerequisites-for-pre-commit-hooks) will help you with that.
- In case of a new feature add useful documentation (in docstrings or in `docs/` directory). Adding a new operator? Check this short [guide](https://github.com/apache/airflow/blob/master/docs/howto/custom-operator.rst) Consider adding an example DAG that shows how users should use it.
- Consider using [Breeze environment](https://github.com/apache/airflow/blob/master/BREEZE.rst) for testing locally, it’s a heavy docker but it ships with a working Airflow and a lot of integrations.
- Be patient and persistent. It might take some time to get a review or get the final approval from Committers.
- Be sure to read the [Airflow Coding style]( https://github.com/apache/airflow/blob/master/CONTRIBUTING.rst#coding-style-and-best-practices).
Apache Airflow is a community-driven project and together we are making it better 🚀.
Mailing List: dev@airflow.apache.org
Slack: https://apache-airflow-slack.herokuapp.com/",non_debt,-
spark,3663,comment,66551116,"Test FAILed.
Refer to this link for build results (access rights to CI server needed): 
https://amplab.cs.berkeley.edu/jenkins//job/SparkPullRequestBuilder/24334/
Test FAILed.",non_debt,-
nifi,2778,review,194239526,Why not do the conversion while inserting?,non_debt,-
spark,23445,review,247331027,the `* 1000` should be inside the bracket.,non_debt,-
hadoop,720,comment,481838904,":broken_heart: **-1 overall**
This message was automatically generated.",non_debt,-
accumulo,256,review,116251656,How is it done on the client side?,non_debt,-
spark,19893,comment,350759207,"@jiangxb1987 feel free to take a look at it. More eyes, more possibilities.",non_debt,-
bookkeeper,3,comment,171381380,"@vik5jagan yup. but this pull request seems to try to merge branch 4.0 to master. is that intended? There is a link describing how to contribute to BookKeeper : https://cwiki.apache.org/confluence/display/BOOKKEEPER/Contributing+to+BookKeeper .
Let me know if you have any questions.",non_debt,-
spark,1819,comment,52405112,"  [QA tests have finished](https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/18681/consoleFull) for   PR 1819 at commit [`41ebc5f`](https://github.com/apache/spark/commit/41ebc5f912093fdf7b21808ce19da1bae514435e).
- This patch **fails** unit tests.
- This patch merges cleanly.
- This patch adds the following public classes _(experimental)_:
  - `abstract class Serializer`
  - `abstract class SerializerInstance`
  - `abstract class SerializationStream`
  - `abstract class DeserializationStream`
  - `class ShuffleBlockManager(blockManager: BlockManager,`
  - `case class OutputFaker(output: Seq[Attribute], child: SparkPlan) extends SparkPlan`
  - `implicit class LogicalPlanHacks(s: SchemaRDD)`
  - `implicit class PhysicalPlanHacks(originalPlan: SparkPlan)`
  - `class FakeParquetSerDe extends SerDe`",non_debt,-
incubator-pinot,6239,review,518275105,"True, time unit won't be set as well.
The new code doesn't have the requirement of setting start/end before time unit.",non_debt,-
beam,13905,comment,774255477,"# [Codecov](https://codecov.io/gh/apache/beam/pull/13905?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/beam/pull/13905?src=pr&el=continue).",non_debt,-
zookeeper,419,review,151766248,"I agree that it should be configurable, but I don't think using a Builder pattern precludes this.  I'm about to push changes that adds support for using system properties, that's a good idea.",non_debt,-
beam,7391,comment,451005714,R:@kennknowles,non_debt,-
flink,6129,review,193707442,"@zentol the result need be sorted, otherwise the test would report error, because the result is not ordered, print this :",non_debt,-
incubator-heron,320,summary,0,updated copyright in heron/cli,non_debt,-
helix,1390,comment,698625813,"1- Rebased and ran the tests again and updated the test results.
2- Done.",non_debt,-
pulsar,3019,review,243864237,"yes, I think earlier code was not formatted with formatter that caused this reformatting change.",code_debt,low_quality_code
tvm,654,summary,0,Compat for opencl mode between cpu mode and gpu mode,non_debt,-
nifi,2260,review,149995922,Hoping to remove this try/catch if [NIFI-4590](https://issues.apache.org/jira/browse/NIFI-4590) is implemented first.,non_debt,-
spark,16865,comment,278796046,"I understand the motivation here, could you show the benefit of this change for a real use case?",non_debt,-
tvm,6699,review,506719578,Better to comment why `-3` needs a special process.,non_debt,-
shardingsphere,6462,summary,0,change the url in index,non_debt,-
trafficcontrol,3979,summary,0,Fix broken unit tests and run go fmt,non_debt,-
flink,9980,comment,545849540,"If the PR isn't ready to be reviewed, why is it open?",non_debt,-
geode-native,152,review,151284670,Sounds good to me.,non_debt,-
ignite,8104,review,463530051,"I think this can be no-op, since `RollbackOnly` is always `true`.",non_debt,-
netbeans,130,comment,338476937,"I've rebased the patch on the current master. If there are no objects, I'd like to merge to master tonight or tomorrow.",non_debt,-
trafficserver,1594,review,106927789,"It does not. My initial implementation required this, then I forgot to change this back",non_debt,-
spark,29026,comment,655306439," * This patch **fails to generate documentation**.
 * This patch merges cleanly.
 * This patch adds no public classes.",non_debt,-
storm,2865,summary,0,STORM-3247 remove BLOBSTORE_SUPERUSER,non_debt,-
beam,5384,review,189163677,"Let's drop this comment for two reasons:
1. First part of the comment is describing the same thing as the code in English, it is not adding additional context.
2. Second part is dataflow runner specific, and the example does not even run on dataflow runner yet.",documentation_debt,low_quality_documentation
calcite,2214,summary,0,"[CALCITE-4106] Consider ""listCoerced"" in TypeCoercionImpl#inOperationCoercion (Jiatao Tao)",non_debt,-
flink,11554,comment,605457410,"Thanks a lot for your contribution to the Apache Flink project. I'm the @flinkbot. I help the community
to review your pull request. We will use this comment to track the progress of the review.
Last check on commit 7f2e408128e5d7929dd4301362a20d8d90c69597 (Sat Mar 28 14:50:34 UTC 2020)
**Warnings:**
 * No documentation files were touched! Remember to keep the Flink docs up to date!
* ❓ 1. The [description] looks good.
* ❓ 2. There is [consensus] that the contribution should go into to Flink.
* ❓ 3. Needs [attention] from.
* ❓ 4. The change fits into the overall [architecture].
* ❓ 5. Overall code [quality] is good.
 The Bot is tracking the review progress through labels. Labels are applied according to the order of the review items. For consensus, approval by a Flink committer of PMC member is required <summary>Bot commands</summary>
  The @flinkbot bot supports the following commands:
 - `@flinkbot approve description` to approve one or more aspects (aspects: `description`, `consensus`, `architecture` and `quality`)
 - `@flinkbot approve all` to approve all aspects
 - `@flinkbot approve-until architecture` to approve everything until `architecture`
 - `@flinkbot attention @username1 [@username2 ..]` to require somebody's attention
 - `@flinkbot disapprove architecture` to remove an approval you gave earlier",non_debt,-
pulsar,9083,comment,752413384,@eolivelli left my comments.,non_debt,-
spark,17468,comment,290152298," * This patch passes all tests.
 * This patch merges cleanly.
 * This patch adds no public classes.",non_debt,-
fineract,1564,summary,0,"This PR contains the following updates:
---
-   **ux:** Disabled Execute button while request is in progress ([#&#8203;6776](https://togithub.com/swagger-api/swagger-ui/issues/6776)) ([2bf39e0](https://togithub.com/swagger-api/swagger-ui/commit/2bf39e0ad526336198490122c7978221487a1e35))
-   **sample-gen:** first oneOf or anyOf should be combined with schema ([#&#8203;6775](https://togithub.com/swagger-api/swagger-ui/issues/6775)) ([0f541a1](https://togithub.com/swagger-api/swagger-ui/commit/0f541a1ab055ce104da9758ddbf1a77dcd839c70))
-   **style:** response data flows off the screen ([#&#8203;6764](https://togithub.com/swagger-api/swagger-ui/issues/6764)) ([85a3ec9](https://togithub.com/swagger-api/swagger-ui/commit/85a3ec983e5822f87715d63720e511f8be65f6a9))
-   **examples:** Request Body examples should respect media-type ([#&#8203;6739](https://togithub.com/swagger-api/swagger-ui/issues/6739))  ([68e9b1b](https://togithub.com/swagger-api/swagger-ui/commit/68e9b1b43995a68d40813146aab174228e7a1257))
---
:date: **Schedule**: At any time (no schedule defined).
:vertical_traffic_light: **Automerge**: Disabled by config. Please merge this manually once you are satisfied.
:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
:no_bell: **Ignore**: Close this PR and you won't be reminded about this update again.
---
---
This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/apache/fineract).",non_debt,-
spark,10411,summary,0,"This documents the implementation of ALS in `spark.ml` with example code in scala, java and python.",non_debt,-
hudi,2500,comment,798849454,Pushed small refactors. Will merge once CI passes,non_debt,-
camel,2206,review,165614505,"Hmm maybe such a type converter is not so idea when you require those stuff to be on the exchange property. Sometimes a type converter is not the best thing to add, they should really ideally just be for basic type conversions. Consider removing this if possible.",non_debt,-
parquet-mr,466,summary,0,20675636-466 summary-0,non_debt,-
zeppelin,2706,comment,353205540,@zjffdu can u confirm it's a flaky test?,test_debt,flaky_test
netbeans,276,summary,0,"Explicit max and min heap size settings removed.
This file (changed in this PR) is the default `.conf` file your application will get when you create an application on top of NetBeans Platform.
See [NETBEANS-149](https://issues.apache.org/jira/browse/NETBEANS-149) for details.",non_debt,-
geode,230,summary,0,GEODE-1744: Probable bugs from == use fixed,non_debt,-
flink,12143,comment,628995582,rebase latest master,non_debt,-
hadoop,1357,review,318728169,"I would prefer `OZONE_SH_OPTS`.  However, this is an existing variable.  I kept its name to avoid breaking anyone's scripts.",non_debt,-
incubator-doris,1610,review,315559959,"OK, Done",non_debt,-
druid,3939,review,102355893,Use log message formatting `%d`,code_debt,low_quality_code
spark,11179,review,52870230,"Use `BDV.vertcat(BDV(Array(gradientLogSigmaSum / totalCnt.toDouble)), BDV(Array(gradientInterceptSum/totalCnt.toDouble)), gradientBetaSum/totalCnt.toDouble)` to combine three parts directly.",non_debt,-
spark,3009,comment,63914127,"  [Test build #23698 has finished](https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/23698/consoleFull) for   PR 3009 at commit [`6f17f3f`](https://github.com/apache/spark/commit/6f17f3f61102f5685d20cf42f79a049a5bbaad06).
- This patch **fails Spark unit tests**.
- This patch merges cleanly.
- This patch adds no public classes.",non_debt,-
spark,12627,comment,218659906,"Jenkins, retest this please",non_debt,-
pulsar,322,comment,294382800,@msb-at-yahoo - Addressed all your comments,non_debt,-
dubbo,1705,summary,0,[Dubbo-1659] Optimize_hessian_desr_performance,non_debt,-
reef,955,comment,212143854,"LGTM, will test and merge",non_debt,-
airflow,3969,comment,425430405,"# [Codecov](https://codecov.io/gh/apache/incubator-airflow/pull/3969?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/incubator-airflow/pull/3969?src=pr&el=continue).",non_debt,-
fineract,1584,review,563163346,"@BLasan a thought: instead of using `busybox` and `nc`, why not just re-use `image: mysql:5.7` with `mysqladmin` ?",non_debt,-
shardingsphere,4566,summary,0,Rename TableSegmentsAvailable to TableAvailable,non_debt,-
trafficserver,1482,comment,281828523,FreeBSD build *successful*! See https://ci.trafficserver.apache.org/job/freebsd-github/1602/ for details.,non_debt,-
trafodion,115,summary,0,"Adding .rat-excludes, readme for rat and remove unneeded files lacking copyrights.Also hive/TEST009 fix.",code_debt,dead_code
arrow,5506,comment,535392580,@kou there are a couple of missing artifacts:,non_debt,-
daffodil,334,review,395809427,"Ok, that makes sense!",non_debt,-
pulsar,6903,comment,632959266,/pulsarbot run-failure-checks,non_debt,-
ozone,1007,comment,637932167,Thanks @xiaoyuyao for review. I will merge it in.,non_debt,-
spark,19525,review,149534129,Or we can merge this test case with existing read/write test.,non_debt,-
kafka,2429,comment,275224539,"About fine grained configuration:
Yes, users should not need to think about tasks. It should be on operator basis. Thus, we would need to make standby tasks ""smarter"" and only populate some stores (as requested by the user) in the background. Would be a bigger change, but not impossible.
Yes, that is exactly what I had in mind.",non_debt,-
camel,4687,summary,0,CAMEL-15896: Upgrade google-cloud-pubsub to 1.109.0,non_debt,-
pulsar,318,comment,290524380,"@rdhabalia @saandrews Added 1 commit on top of this PR. Take a look at https://github.com/merlimat/pulsar/commit/08de7c7c47fdb242074b08ddbb81a3fae8b2f72b 
Few things: 
 1. Use proper ref-count sematic for EntryImpl. EntryImpl owns a ref of the buffer (so, while we have an `EntryImpl`, the buffer is alive.
 2. Removed recycling on PositionImpl, this was long due since it's impossible to achieve on the current premises. Use ledgerId/entryId in entryImpl so that is more compact",non_debt,-
incubator-pinot,2890,review,195580463,so we will never delete a segment in realtime for 5 days?,non_debt,-
beam,13927,comment,775452670,"It's part of Dataflow VR test. 
I usually change the validatesRunnerV2 target to include just one test case and if you have write access to apache-beam-testing, you can invoke the test locally by ./gradlew :runners:google-cloud-dataflow-java:validatesRunnerV2 directly.",non_debt,-
pulsar,1788,summary,0,adding windowing function CLI option descriptions,non_debt,-
spark,20068,review,158616591,I think we can just use `spark`.,non_debt,-
trafodion,644,review,73953757,Doesn't look like columnReference is used after this. Is this a memory leak?,design_debt,non-optimal_design
flink,5108,review,154299536,"On second thought, passing in the runtime context wouldn’t work. To let user custom partitioners  be stateful, we’ll essentially need to make FlinkKafkaPartitioner a CheckpointedFunction, and let the FlinkKafkaProducerBase invoke the checkpoint methods.
We should be able to avoid breaking the user API by having empty base implementations for the checkpoint methods on the FlinkKafkaPartitioner.",non_debt,-
