project,sha,text,classification,indicator
kafka,50cd85538580c9c9833ad957d64d39953c124374,"HOTFIX: Fix lgtm.com alerts (dead code and out-of-bounds error) (#4388)
This fixes two alerts flagged on lgtm.com for Apache Kafka.
This dead code alert where InvalidTypeIdException indirectly extends JsonMappingException. The flagged condition with the type test appears after the type test for the latter and thus makes its body dead. I opted to change the order of the tests. Please let me know if this is the intended behavior.
The second commit addresses this out-of-bounds alert.
More alerts can be found here. Note that my colleague Aditya Sharad addressed some of those in the now outdated #2939.",code_debt,dead_code
trafodion,88a5cb4c18d067625e8d5ee83f7da2bde92db6a6,"[TRAFODION-1742] Rework, misplaced parenthesis
A misplaced paranthesis caused the previous change to not work as expected.",non_debt,-
couchdb,7daa0d31e268deed9004d86e3f4ba53867d1b9fd,"Improve error logging on replication write failures
If an error happens when writing a document to the target endpoint,
log it's ID, revision, error and error reason. Also added a few tests
to cover the cases where the target has validate_doc_update functions.",code_debt,low_quality_code
incubator-weex,be6179386d73c7f260a92d9ae17833e9d1c49d07,Merge branch 'jsfm-feature-0.16' of https://github.com/alibaba/weex into jsfm-feature-0.17,non_debt,-
skywalking,7db8ac7803cb405be2f5d3a2bb63ec798df09115,Update README.md,non_debt,-
usergrid,fabec01bbd2e446ee7ef2528b5b1f0e2cf17b1e9,see role permissions,non_debt,-
lucene-solr,3371a86c2b3164c7b88751bf968189a4a9be6b20,updating the CHANGES.txt for multicore changes,non_debt,-
cassandra,b2af80b4acdc9db4cdd9c26cc81f4336e2ebfccc,Merge branch 'cassandra-3.0' into cassandra-3.3,non_debt,-
dubbo,a206dde6cd65d4273adfd6c84dd3be711c3b5a5d,"[Dubbo-3653] Enable etcd to support metadata center (#3943)
* Support etcd as metadata center
* Fix key format error for consul/redis and UT failure
* Fix UT failure
* Fix UT failure
* Fix UT failure",non_debt,-
cassandra,97c6bbe6093de16f3370a511023b861a381da7fe,"Use LOCAL_QUORUM for LWT operations at LOCAL_SERIAL
patch by Sankalp Kohli; reviewed by jbellis for CASSANDRA-6495",non_debt,-
parquet-mr,54777b46da768df3ff88548c6b6b70bd52fba0dd,PARQUET-1556 Use try-with-resource in Apache Avro tests (#639),non_debt,-
attic-stratos,4b8ef10947acfa1aed28614a33ef2e008b6217a2,Updated cep artifact folder names,non_debt,-
cloudstack,c9dd19097f3a4982677f5aa5e2497e7526530e35,Docs: Adding documentation and translation chapter in dev guide,non_debt,-
parquet-mr,a5249795799317be00c454ac880be6c064e2a1c6,Remove the old license.txt,documentation_debt,outdated_documentation
bookkeeper,6a6d7bbd995acd55389ec209e42e099647c988fd,"Migrate command `initnewcluster`
Descriptions of the changes in this PR:
#2046 
This closes #2047 from zymap/command-initnewcluster",non_debt,-
cxf,4f25abe0668167b446be3e08a4d77e4332986a94,[CXF-5954] Adding JWS RSA and JWE AesHMacCbc JWK system tests,non_debt,-
cloudstack,2942a89ca044afec7875c12ed07c33c74505442c,new UI - disk offering page - implement updateDiskOffering action,non_debt,-
trafficserver,6def9ca4b711c19ae6677bdc9bc069a9f682fb93,clang-format,non_debt,-
ambari,0ba68682faf6769b94514096b163720acf779d11,AMBARI-6045 Master components are missing. (atkach),non_debt,-
ambari,344ed725182c2094f00ce4153515467ddcb52cc0,"AMBARI-12927. RU: Falcon server restart failed during tar, need to add retries to command (Swapan Shridhar via alejandro)",non_debt,-
shardingsphere,5b3faaf55a0157eafbfdca088d40ccbac9ddbfee,"for #1172, remove tracing for get connection and close connection",non_debt,-
tinkerpop,e6a0561002c0b2dab2323713b2b150482676ceca,"Set javadoc generation to quiet.
Get rid of some superfluous informational messages to further reduce the log sizes.",code_debt,low_quality_code
karaf,7e7b6432871336ab08b0f6ec3095c4dac448b9fa,[KARAF-5376] Woodstox doesn't like mixing access to underlying writer,non_debt,-
cloudstack,352cd83b2ad44e6c3daa078a29ba45ca5b259671,new UI - zone page - add domain in details tab.,non_debt,-
groovy,27828cd2fd41cdded97ca85c46156f914bda0e54,add javadoc @since for some methods,non_debt,-
flink,3629ab48d0ec1d8b19e1fe2b73d114c962de8564,[hotfix][yarn] Remove legacy descriptor methods,code_debt,dead_code
guacamole-client,d75595919ff9010ac8b98f6bbf973c02610651bf,GUACAMOLE-144: Fix path to LICENSE for Carlito font.,non_debt,-
camel,e4dfa840cb229d684a28bf6d7e119b6980bc5a1e,Added some comments on CachedOutputStream,non_debt,-
superset,8da1900d8a5a686c599ac91a5d12abb8522135fa,"feat: add hook for dataset health check (#11970)
* feat: add hook for dataset health check
* add event log
* optimize datasource json data like certified data
* add unit test
* fix review comments
* extra code review comments",non_debt,-
parquet-mr,57b0131513366863198f320caa9d9f053a9a78a7,"Merge pull request #336 from lukasnalezenec/protobuf
protobuf dependency version changed from 2.4.1 to 2.5.0",non_debt,-
geode,d76ccd12cf7801973faf481638c47c6c2c190824,GEODE-7157: Add fix for test case,non_debt,-
jmeter,ce356461ed13e996fc189a2e1e45da60f4c40b67,Bug 49862 - Improve SMTPSampler Request output.,non_debt,-
ambari,d0338adf31d51a7b250b6a079254e791fbb23e68,AMBARI-4469. Bulk Ops: Integrate maintenance mode. (onechiporenko),non_debt,-
flink,a33b0759f6d271e4aa254a22b0dd60b4e9c6cb0e,put some docs into lazyTailArrayNode,non_debt,-
groovy,48562a1188ebae3f09ba6dbb197195f72288d9da,removed Protected test accidently left in,code_debt,dead_code
camel,064f2c359b4554b4ff2f8ee390d0d3f14b989327,Upgrade Zipkin to version 2.20.1,non_debt,-
camel,9fefab66c55ce7f5635965fa90dadb139257edd6,CAMEL-7221: Upgrade to Lucene 4.6.1,non_debt,-
cassandra,3ff82cb70fc02b63ea5eb8b6355e5f3aeddebec2,fix typo for CASSANDRA-2873,documentation_debt,low_quality_documentation
accumulo,0a81b34ee4204b7d2eb7df941c664e8cfe01d8ec,ACCUMULO-86 fix up the LICENSE and NOTICE files,non_debt,-
incubator-brooklyn,ca9dcc118c0384eadeb185557df60a83bd032239,Convert web-cluster examples etc (for interface+impl),non_debt,-
hadoop,aea35d93e3b2349098134f285c00d9d529d3496b,HADOOP-10466. Lower the log level in UserGroupInformation.  Contributed by Nicolas Liochon,non_debt,-
ambari,590a2e249c24d64d5864a24846436adc7575b72c,AMBARI-11784. Perf Cluster: Save configurations of Config Group takes 40s. (mpapirkovskyy),code_debt,slow_algorithm
groovy,e0a011c70a1318f10fb9ba09fe249c168e6b909e,GROOVY-2429: Allow subclasses of XmlParser to customize creation of new Nodes,non_debt,-
couchdb,dd9ce40538ed48aeff0c54a0bf6ebe1b4bc2633e,bumped trunk to beta,non_debt,-
shardingsphere,1f7c0be8779ab746db1cec51f2f0ea186b3ab2f5,"for #1205, remove sync for SQLExecutePrepareTemplate and recover sync for get connections on same data source, because data source map always use same hash sequence to iterator entries",non_debt,-
jena,1e3fd8ab3a06f4f165db9816efa1f2252a282073,Fix error message for --print,non_debt,-
cassandra,5411e5ff850bd1bbbf8d9f0057ff4136402b2bff,Merge remote-tracking branch 'origin/cassandra-2.0.0' into cassandra-2.0.0,non_debt,-
myfaces-tobago,2f1cf9fb3e086532736039b44e0d79c8c28fccf9,"TOBAGO-848: Move classes that shouldn't be used from applications into ""internal"" package.",non_debt,-
shardingsphere,ce1dfefad302489c2a11a05b2aa1289c3ddf02b6,update release notes,non_debt,-
systemds,e5bb892414c8c750d37b39d358ccbafc0e27b29f,19189: fix bugs in SystemML - removed WELL1024,non_debt,-
kylin,0b10ab39bc8ef1369b57566639c1cbee2b177aa5,KYLIN-669 add AdminLTE MIT License in LICENSE file,non_debt,-
lucene-solr,0446589f430a3097b3878f2db4d8c1e1637ca841,tests: use fs factory for now,non_debt,-
ambari,645b2fbe4be05a754618aa0a4790e351813b026e,AMBARI-18546. Part_2.BP format does not generate property oozie.service.JPAService.jdbc.url.(vbrodetskyi),non_debt,-
groovy,43d9f2178f0cbfbba971ae64ebe1259e0c5d0061,fix typo in error message,documentation_debt,low_quality_documentation
beam,1b2d9ae9f4f540aea84e88c0ed81c7689da10894,[BEAM-7949] Add time-based cache threshold support in the data service of the Python SDK harness.,non_debt,-
nifi,113ad5ecfa8990c97a56b8fc31656f3542735906,NIFI-4639: Updated PublishKafka 1.0 processor to use a fresh writer for each output record as well. This closes #2292.,non_debt,-
cassandra,cf85f520c768a6494281dd5e94fb12b0b07dd1b0,"Merge commit '6dc1745' into cassandra-3.0
* commit '6dc1745':
  Disable passing control to post-flush after flush failure to prevent data loss.",non_debt,-
shardingsphere,46fd7883df2bbc811448eec9b41e06fe64acfbde,"fix #2410, add encrypt to other database",non_debt,-
attic-stratos,0aaa1521142f60657cee84469f372b2720d20a4b,Adding in isPublic property to beans and Service interface / utils for tenant isolation requirements,non_debt,-
flink,7956a14c4e7a46f8033b4cb98fb25951ce47b697,[FLINK-11843] Add DispatcherRunnerImplNGFactory implementation,non_debt,-
spark,5ee21661834e837d414bc20591982a092c0aece3,"[SPARK-25533][CORE][WEBUI] AppSummary should hold the information about succeeded Jobs and completed stages only
## What changes were proposed in this pull request?
Currently, In the spark UI, when there are failed jobs or failed stages, display message for the completed jobs and completed stages are not consistent with the previous versions of spark.
Reason is because, AppSummary holds the information about all the jobs and stages. But, In the below code, it checks against the completedJobs and completedStages. So, AppSummary should hold only successful jobs and stages.
https://github.com/apache/spark/blob/66d29870c09e6050dd846336e596faaa8b0d14ad/core/src/main/scala/org/apache/spark/ui/jobs/AllJobsPage.scala#L306
 https://github.com/apache/spark/blob/66d29870c09e6050dd846336e596faaa8b0d14ad/core/src/main/scala/org/apache/spark/ui/jobs/AllStagesPage.scala#L119
So, we should  keep only completed jobs and stage information in the AppSummary, to make it consistent with Spark2.2
## How was this patch tested?
Test steps:
 bin/spark-shell
**Before fix:**
**After fix:**
Closes #22549 from shahidki31/SPARK-25533.",non_debt,-
trafficcontrol,2d8de94e26af0285f58a9bb53aba86373bfced73,"Change render_text to render( text => for sub postupdate
* traffic_ops/app/lib/UI/Server.pm
fixes #1238",non_debt,-
incubator-heron,8218195d96907ee47fbd8d22ea3b859bbd7049a3,enablebool (#3056),non_debt,-
hive,6afa544b85e78eaadf05e68f7123089b3faa3821,"HIVE-17824 : msck repair table should drop the missing partitions from metastore (Janaki Lahorani, reviewed by Peter Vary, Alexander Kolbasov and Vihang Karajgaonkar)",non_debt,-
ambari,852d8af2f47296b6e036d7ca4590e3d33e80c4cb,"AMBARI-5612. Unit tests for object_utils, date, ui_effects, updater. (Denis Buzhor via onechiporenko)",non_debt,-
tomee,f5416946b7bfb75e93fc3a9c0f099afe539710af,don't download rat.zip if already here,code_debt,low_quality_code
beam,f0abb977abd7c08ee1f3792fc0becbb1321d5bb6,"[BEAM-7006] Fix some race conditions in sdf splitting.
* Splitting could be requested before operation started.
* An element could finish while we were splitting.",non_debt,-
hbase,67ba5e3d50db93873f4a8daa7e0a2daf9829f910,HBASE-7838 HBase regionserver never stoping when running  (Damien Hardy),non_debt,-
karaf,c8dad534ab6a67d30ca821a56f5ced323e9f5e07,[KARAF-1853] Align SNAPSHOT build number in the kar goal,non_debt,-
attic-apex-malhar,44c89aa1028bac4eadeaff77c7daf0d465518e07,"added comment for Transaction and nontransaction operator, changed the column name variable",non_debt,-
lucene-solr,e1560a8e8101156a56741a9fd073d91306ba36bb,LUCENE-3484: Fix NPE in TaxonomyWriter: parents array creation was not thread safe.,requirement_debt,non-functional_requirements_not_fully_satisfied
reef,46d9bc058d8ad37ff0958f7f32bf45d333abc995,"Added a Heap-Slack parameter
This adds the option for users to define a fraction of the container memory that is not used for the JVM heap.
Also, some named parameters were moved out of being inner classes.",non_debt,-
ignite,dffcb834f0f5b8971398e704d520dab9b8901b3a,Added test for ignite-2328.,non_debt,-
thrift,f35a9b9152b66fc47c36ff25240e7704172d18ae,"THRIFT-738. java: TCompactProtocol throws RuntimeException when it can't identify a type identifier
This patch causes it to throw TProtocolException instead.",non_debt,-
camel,8ff220763d30c70418876e873135fe7a8dc4922e,CAMEL-791: added missing license,documentation_debt,low_quality_documentation
skywalking,527f8a55ae3691a1260712b569f45a7aee1e428e,trace dag ui seem good,non_debt,-
trafficserver,6f015d0d66fd59c9756c34f770b1511122746eea,Coverity 1021954,non_debt,-
activemq-artemis,b346c2d4ff9cff840e4bdacc8573092f1c7c6317,Fixes URISchema setFactory(..),non_debt,-
storm,189ba57eb11854c1cd3db7b54ad8dd341c534b58,Update storm-elasticsearch documentation,non_debt,-
beam,466599d765aa82acaf997ec8776405152bbde4c1,This closes #2104,non_debt,-
couchdb,29af20374cee5f7c75efc22b8e653febd78670a9,Expand erlang releases tested by Travis,non_debt,-
hbase,52c4ce5cdd29ea25a2ab9c04f95cf12acb0c6e02,HBASE-4422  Move block cache parameters and references into single CacheConf class (jgray),architecture_debt,violation_of_modularity
groovy,9e6d0c58feaf831a8d82cd7c33b1bbe6f5822e5c,"GROOVY-6259: Allow to define the logger category name for the @Log
annotations",non_debt,-
attic-stratos,df7db412d1cb0de2431e04ea96b2b9b79a8c8263,Fixing class cast error and refining code in TopologyEventMessageListener,non_debt,-
incubator-pinot,8544ccf0ffbdf8d9fe354497af4023f1344cdf1e,"Remove redundant data member from BaseOperator class. (#1003)
Remove the _operatorName data member from this class, and replace it
with getOperatorName() method call. This avoids storing the information
in multiple places.",code_debt,dead_code
flink,f5e537e2d58a97d6eaa4bbe1303716cac7a5bb60,[FLINK-12607][rest] Expose maxParallelism of jobs and vertices,non_debt,-
trafficserver,78043848edad77db79333c4765937c0924ad58c9,TS-3080: Adding stat for new tls sessions,non_debt,-
camel,98b68815be15be037ce3e1ca6008761a5bcb049c,Sync Properties,non_debt,-
nifi,efff1b41f07e4d473de68c91706509c9ab104d58,"NIFI-6880 Fix ranger assembly to exclude Java 11 related JARs
This closes #3892",non_debt,-
spark,da32d1e6b5cc409f408384576002ccf63a83e9a1,"[SPARK-30700][ML] NaiveBayesModel predict optimization
### What changes were proposed in this pull request?
var `negThetaSum` is always used together with `pi`, so we can add them at first
### Why are the changes needed?
only need to add one var `piMinusThetaSum`, instead of `pi` and `negThetaSum`
### Does this PR introduce any user-facing change?
No
### How was this patch tested?
existing testsuites
Closes #27427 from zhengruifeng/nb_predict.",non_debt,-
hadoop,22ae3193609a281a17e85b2e3d911455fcc853cc, HDFS-9737: libhdfs++: Create examples of consuming libhdfs++ (pt 2).  Contributed by Bob Hansen,non_debt,-
lucene-solr,05a6170d12fec1effed05613d0bee5fac74f0a4c,Merge branch 'apache-https-master' into jira/solr-8593,non_debt,-
airflow,bbfc18e7e01fdd3a263ddb0b2b4cce8f2c06f732,[AIRFLOW-6937] Inline _get_simple_dags method in SchedulerJob (#7561),non_debt,-
attic-apex-core,4d4d425830f2a155848a02c69eba872ec125dfaf,redefine BufferServerController.,non_debt,-
jena,0bc25005a35d72f5053be0aa1602e40e09fb9bf3,JENA-1134: basic support for AnalyzingQueryParser,non_debt,-
attic-stratos,ede099b274272db130eccca49481a5506e216bb9,throwing RestAPIException from the rest EP in place of ADCException,non_debt,-
tinkerpop,6789163e6957deaa89dda0e5c478529833edab55,Bumped to release version neo4j-tinkerpop-api-impl 0.7-3.2.3,non_debt,-
incubator-doris,3c09e1e1d81df23fe252023b58123f4de516807d,"[trace] Adapt trace util to compaction module (#3814)
Trace util is helpful for diagnosing compaction performance problems,
we can get trace log for base compaction like:
for cumulative compaction like:",non_debt,-
hudi,9884972a3a1d1158b657e2f012a886b319f99002,[MINOR] Remove old jekyll config file (#1198),code_debt,dead_code
netbeans,a1d379d1a11827118d7b901f8164455daa95ca88,"Adjusting header in libs.osgi/external/osgi-5.0-license.txt, org.osgi.compendium-4.2.0.jar is used now, not osgi.cmpn-4.2.jar.",non_debt,-
netbeans,e9019ef69177b0eedf65a4267f4a4f6e4ce72cd8,"[NETBEANS-1696] PHP 7.4 Support Arrow Functions 2.0
See https://wiki.php.net/rfc/arrow_functions_v2
- Fix ASTPHP5Parser.cup, ASTPHP5Scanner.flex, and Php5ColoringScanner.flex i.e. parser and lexers
- Add ArrowFunctionDeclaration as an ASTNode
- Add ArrowFunctionScope
- Add code templates for arrow functions
- Fix PHP74UnhandledError and UnusableTypesUnhandledError
- Fix GotoDeclaration and MarkOccurrences features
- Add ASTErrorExpression node to avoid that an ArrowFunctionDeclaration node is handled as an ASTError
- Add unit tests",non_debt,-
pulsar,e82be833c04c9e7325dfe5d86eda4d5dc375f9eb,remove master and slave references from C++ API docs (#1140),non_debt,-
spark,d1508dd9b765489913bc948575a69ebab82f217b,"[SPARK-12386][CORE] Fix NPE when spark.executor.port is set.
Closes #10339 from vanzin/SPARK-12386.",non_debt,-
camel,f80654f493481535ca297e240ee03468ab0cd2f7,[CAMEL-9659] Add more headers to resulting exchange,non_debt,-
myfaces-tobago,5f297dddcf87b78064275562510114f08d1a8644,Added ASF license.,non_debt,-
arrow,903d03b0bab82fe6b8724d98cccedf582e2b4f86,"ARROW-1553: [JAVA] Implement setInitialCapacity for MapWriter
 Implement setInitialCapacity for MapWriter and pass on this capacity during lazy creation of child vectors
cc @jacques-n , @StevenMPhillips
Closes #1113 from siddharthteotia/ARROW-1553 and squashes the following commits:
5a759be7 [siddharth] ARROW-1553:  Implement setInitialCapacity for MapWriter and pass on this capacity during lazy creation of child vectors",non_debt,-
incubator-mxnet,4f7e8dce96e7096ca957d16114a6afa0578b673a,"Merge pull request #1938 from pluskid/container
add ignore_label support for 2D softmax",non_debt,-
madlib,fe1e717721d6b935398c218591a7e6ff670ea505,"Linear Regression:
- Return Null if no data has been seen
- static_cast for rebind() call from constructor",non_debt,-
cassandra,18e2fca8b47f9e2dc84ad43c957f0d226dd883d7,"Fix handling counters in supercolumns when parsing schema
patch by Aleksey Yeschenko; reviewed by Sylvain Lebresne for
CASSANDRA-10365",non_debt,-
airflow,1feac380d5247e4043b171e01005f8918da3f344,[AIRFLOW-112] Change default DAG view from tree view to graph view,non_debt,-
couchdb,917d89884e3dc9317eba1728ec1702f88d2ba670,"Merge branch '1684-feature-db-updates'
* 1684-feature-db-updates:
  Import couch_dbupdates from rcouch.",non_debt,-
ambari,59d19e5c5112fa43ca668f120e99eaa1c1b20fe5,AMBARI-2547. Security wizard: Successive refreshes at some point results in blank screen. (jaimin),non_debt,-
accumulo,3ca3d65962e5229a44d67ef46233467d53a7016c,"ACCUMULO-4779 Improved performance of get by prefix in config (#372)
This change improves performance by caching config with a prefix.
Also removed custom method to get VFS config.  Now that getting
config by prefixes is fast, it can used for VFS.",code_debt,slow_algorithm
incubator-weex,d360d978bc93a4b806dca1c6f8f8b87d19012270,re generate site from template,non_debt,-
hbase,63726f12d0b97819a5681f24e5a0789f64072db5,HBASE-20390-ADDENDUM-3: IMC Default Parameters for 2.0.0 (fix documentation),non_debt,-
storm,de50e5a848b3838ffe8a76b92ae6d5913444d0a8,"Merge pull request #3276 from govind-menon/master
Updates next release version to 2.3 for 2.2 release",non_debt,-
shardingsphere,a2083450cb7770fbd0ea5c5acacb882f38d15fb2,Merge remote-tracking branch 'upstream/dev' into dev,non_debt,-
jmeter,3c46f43aa7e5573cc952d14af3f2d699e495d930,Trya again,non_debt,-
groovy,30ccc5d69c429186b3c72fc96912f079151947d0,"Start introduction of groovy-binary module
This module should basically do what remains in `assemble.gradle`:
it's about the end deliverables, which are the distribution zips,
sources, ...
It's modeled as a proper module so that we can publish it without
hacking into internal APIs.",non_debt,-
tinkerpop,8ec49c433ae472116853df12247fa903e41f958d,PathFilterStep now support by() modulation. Removed unneeded CyclicPathStepTest and SimplePathStepTest.,code_debt,dead_code
cloudstack,7b783f0df43bf187afe06220e16d75b35073df8d,CLOUDSTACK-3427: UI > UCS manager > implement listUcsBlade API.,non_debt,-
cassandra,73c48260d74e5114ea9d2b79726b308181c2b465,Merge branch 'cassandra-3.0' into trunk,non_debt,-
shardingsphere,aef8e3c06ac629cfa5e5128f3fbb954e8d2cb1c0,"Merge pull request #752 from ma-xiao-guang-64/dev
prepare to support batch insert(insert)",non_debt,-
daffodil,679d99f9ea2aee4aed607af28893ea63584e2a96,Merge branch 'master' of https://opensource.ncsa.illinois.edu/fisheye/git/dfdl.git,non_debt,-
couchdb,b96acd90124646468d2e724d05c54c4fcb643bbf,more efficient header commits. COUCHDB-767,code_debt,low_quality_code
ambari,f1f730229fe559439189726c0cd40cd58cbf0135,AMBARI-22635: Addendum fix Ambari should create a dummy core-site.xml for Ranger plugins when namenode is not installed.,non_debt,-
infrastructure-puppet,06dfa122a00dcefa64d4ffe9ca231b506fdabe4a,Add dependency on freshclam for daemon,non_debt,-
lucene-solr,941351a5c225cc8cb607cb5870edc22cd54b2ab7,"SOLR-12090: Move DistribStateManager, NodeStateProvider and SolrCloudManager interfaces out of the autoscaling package",non_debt,-
cassandra,8f51b8aafb8c56e4c93691a940a63785fc0ab445,Merge branch 'cassandra-2.1' into trunk,non_debt,-
ignite,cc621722a361b01aeb069b7fb7c2fa4411546062,# GG-7623 Fixed log task.,non_debt,-
nifi-minifi-cpp,0a06ad12d4d01c52e78b26abb1bedb324f8a773c,"MINIFICPP-299: Shore up HTTP Client code
MINIFICPP-299: Resolve issue with tests taking too long
MINIFICPP-306: Resolve issue with HTTP Client code that impacted large transfers.
Changes were made that increased memory usage, but allow large transfers to succeed.
This closes #189.",code_debt,low_quality_code
nifi,f9b5bcf7bba0147821b2862b9d015378260cebc1,"NIFI-2907 Fix Flow Schema Validation Errors
This closes #1587.",non_debt,-
hawq,b260e2d7e82dcc8405bbcb6a657c82d0cb9d883a,HAWQ-792. Orca on causes different error message when insert null value to a not null col,non_debt,-
accumulo,2519b838e97e19bced5b24af841f2a8d54eeb42c,"ACCUMULO-3113 Increase the timeouts in testTimeout
Formatting also got fixed by eclipse. Should help stabilize
some failures that I was seeing from this test. It appears that
1 second was slightly too fast in some cases to get the cond mutation
committed.",non_debt,-
incubator-brooklyn,490ebbd86acd2120780da31c1809b70b8c90f40a,Add comments for #29.,non_debt,-
cxf,3ea9f5ac6b4de00a5c9f00f854db23efb904d22d,[CXF-1997] Update the location of where generates sources are output,non_debt,-
carbondata,27a689a12a0cfce7fb151ec3348e48b4793656e5,"[CARBONDATA-3351] Block bloom datamap creation on binary datatype column
Why this PR?
As per Binary Datatype design Bloom data-map creation on Binary datatype
column is not supported.
Handled the same.
This closes #3500",non_debt,-
zookeeper,1f33a71457882f9bf3b481b29d4dac2ca0b5d350,"ZOOKEEPER-3599: cli.c: Resuscitate ""old-style"" argument parsing
ZOOKEEPER-2122 added SSL support to the C client and to the `cli_st`/`mt` tools.  It introduced (much-welcome!) GNU-style `getopt_long` argument parsing, but did not try to preserve backwards compatibility.
An earlier version of this https://github.com/apache/zookeeper/pull/1131 introduced (optional) POSIX-style `getopt` argument parsing, and was consequently largely obsoleted by the SSL update.  It did, however, support ""old-style"" arguments to avoid [breaking workflows](https://xkcd.com/1172/).
This patch salvages that feature while preserving the `getopt_long` goodness.  It is ""legacy-only""; adding new positional arguments is not supported—as discussed in this thread: https://github.com/apache/zookeeper/pull/1131#pullrequestreview-320870245.
Closes #1131 from ztzg/ZOOKEEPER-3599-use-getopt-in-cli-c",design_debt,non-optimal_design
beam,96ec971835a0eb8773fbed3f3cfc18a6fe1dcc10,"BigQueryTableRowIterator: elide columns with null values
As in 6a11a72f, this makes BigQueryIO.Read work in the
DirectPipelineRunner as it does in the DataflowPipelineRunner.
----Release Notes----
[]
-------------
MOE_MIGRATED_REVID=112496161",non_debt,-
gobblin,067872f2de3c50c901c3c40c1cdf7b23537987a0,Add dataseturn tag to TaskMetrics,non_debt,-
trafficcontrol,40af705f2b3b75f9d782572d7f73721fa57b550d,$self needs to be passed to these methods for dbix,non_debt,-
tvm,57381b606690d384ae8c05623637de64ad96425d,Improvements to the conda build (#2742),non_debt,-
cloudstack,99fe55e3852e4c452b397c1b09f49e0227eaa70c,Add updated invite form,non_debt,-
beam,064796dcc6bffe5028411006c196129ee8766c44,This closes #861,non_debt,-
